Literary Fort Worth,3198,4
1,P,28-08-2021
2,P,28-08-2021
3,D,28-08-2021
4,P,28-08-2021
Florida Frenzy,4188,3
1,D,28-08-2021
2,D,28-08-2021
3,P,28-08-2021
Impossible Princess,6139,4
1,P,28-08-2021
2,P,28-08-2021
3,D,28-08-2021
4,P,28-08-2021
Literary Austin,5745,7
1,D,28-08-2021
2,P,28-08-2021
3,D,28-08-2021
4,P,28-08-2021
5,D,28-08-2021
6,D,28-08-2021
7,P,28-08-2021
Common Wealth,6704,4
1,D,28-08-2021
2,P,28-08-2021
3,P,28-08-2021
4,P,28-08-2021
American Satire,2023,2
1,D,28-08-2021
2,P,28-08-2021
El Coro,5629,3
1,D,28-08-2021
2,D,28-08-2021
3,D,28-08-2021
30 Satires,1646,6
1,P,28-08-2021
2,P,28-08-2021
3,D,28-08-2021
4,D,28-08-2021
5,P,28-08-2021
6,D,28-08-2021
American Reader,3860,3
1,D,28-08-2021
2,P,28-08-2021
3,D,28-08-2021
Literary Nashville,6181,2
1,P,28-08-2021
2,D,28-08-2021
