Beat Poets,1077,5
1,D,28-8-2021
2,D,15-11-2021
3,D,28-8-2021
4,D,28-8-2021
5,D,28-8-2021
Brooklyn Was Mine,5068,3
1,R,22-11-2021
2,D,15-11-2021
3,D,28-8-2021
Essential Saroyan,6073,2
1,P,15-11-2021
2,D,28-8-2021
81 Famous Poems,5016,8
1,R,22-11-2021
2,D,28-8-2021
3,D,15-11-2021
4,P,28-8-2021
5,D,28-8-2021
6,P,28-8-2021
7,D,28-8-2021
8,P,28-8-2021
Tuscany in Mind,6059,5
1,D,28-8-2021
2,R,22-11-2021
3,D,15-11-2021
4,D,28-8-2021
5,D,28-8-2021
Selected Works,1119,5
1,R,22-11-2021
2,D,28-8-2021
3,D,15-11-2021
4,D,28-8-2021
5,P,28-8-2021
Getting Home Alive,1571,7
1,D,28-8-2021
2,D,15-11-2021
3,R,22-11-2021
4,D,28-8-2021
5,R,22-11-2021
6,P,28-8-2021
7,D,28-8-2021
So Fey,6229,5
1,D,28-8-2021
2,D,15-11-2021
3,R,22-11-2021
4,D,28-8-2021
5,D,28-8-2021
Death Defying Acts,2484,7
1,D,15-11-2021
2,D,28-8-2021
3,D,28-8-2021
4,R,22-11-2021
5,D,28-8-2021
6,P,28-8-2021
7,P,28-8-2021
Ethnic Modernism,3731,8
1,D,28-8-2021
2,D,15-11-2021
3,R,22-11-2021
4,P,28-8-2021
5,D,28-8-2021
6,P,28-8-2021
7,P,28-8-2021
8,P,28-8-2021
Latina,1005,6
1,D,15-11-2021
2,D,15-11-2021
3,P,28-8-2021
4,P,28-8-2021
5,P,28-8-2021
6,P,28-8-2021
Word Virus,4383,5
1,D,28-8-2021
2,D,15-11-2021
3,R,22-11-2021
4,P,28-8-2021
5,D,28-8-2021
Inlandia,2535,2
1,P,28-8-2021
2,D,28-8-2021
Literary Savannah,1443,7
1,D,28-8-2021
2,D,28-8-2021
3,D,15-11-2021
4,D,28-8-2021
5,D,28-8-2021
6,R,22-11-2021
7,D,28-8-2021
Caroling Dusk,5256,5
1,P,15-11-2021
2,D,28-8-2021
3,P,28-8-2021
4,D,28-8-2021
5,P,28-8-2021
